2019-09-08 15:04:32 upgrade mawk:armel 1.3.3-17+b3 1.3.3-17+b3
2019-09-08 15:04:32 status half-configured mawk:armel 1.3.3-17+b3
2019-09-08 15:04:32 status unpacked mawk:armel 1.3.3-17+b3
2019-09-08 15:04:32 status half-installed mawk:armel 1.3.3-17+b3
2019-09-08 15:04:32 status half-installed mawk:armel 1.3.3-17+b3
2019-09-08 15:04:32 status unpacked mawk:armel 1.3.3-17+b3
2019-09-08 15:04:32 status unpacked mawk:armel 1.3.3-17+b3
2019-09-08 15:04:32 install libncursesw5:armel <none> 6.0+20161126-1+deb9u2
2019-09-08 15:04:32 status half-installed libncursesw5:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:32 status unpacked libncursesw5:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:32 status unpacked libncursesw5:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 install libtinfo5:armel <none> 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status half-installed libtinfo5:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status unpacked libtinfo5:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status unpacked libtinfo5:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 install ncurses-base:all <none> 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status half-installed ncurses-base:all 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status unpacked ncurses-base:all 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 install ncurses-bin:armel <none> 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status half-installed ncurses-bin:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status unpacked ncurses-bin:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 status unpacked ncurses-bin:armel 6.0+20161126-1+deb9u2
2019-09-08 15:04:33 install libpam-modules:armel <none> 1.1.8-3.6
2019-09-08 15:04:33 status half-installed libpam-modules:armel 1.1.8-3.6
2019-09-08 15:04:34 status unpacked libpam-modules:armel 1.1.8-3.6
2019-09-08 15:04:34 status unpacked libpam-modules:armel 1.1.8-3.6
2019-09-08 15:04:34 install libpam-modules-bin:armel <none> 1.1.8-3.6
2019-09-08 15:04:34 status half-installed libpam-modules-bin:armel 1.1.8-3.6
2019-09-08 15:04:34 status unpacked libpam-modules-bin:armel 1.1.8-3.6
2019-09-08 15:04:34 status unpacked libpam-modules-bin:armel 1.1.8-3.6
2019-09-08 15:04:34 install libpam-runtime:all <none> 1.1.8-3.6
2019-09-08 15:04:34 status half-installed libpam-runtime:all 1.1.8-3.6
2019-09-08 15:04:35 status unpacked libpam-runtime:all 1.1.8-3.6
2019-09-08 15:04:35 status unpacked libpam-runtime:all 1.1.8-3.6
2019-09-08 15:04:35 install libpam0g:armel <none> 1.1.8-3.6
2019-09-08 15:04:35 status half-installed libpam0g:armel 1.1.8-3.6
2019-09-08 15:04:35 status unpacked libpam0g:armel 1.1.8-3.6
2019-09-08 15:04:35 status unpacked libpam0g:armel 1.1.8-3.6
2019-09-08 15:04:35 install libpcre3:armel <none> 2:8.39-3
2019-09-08 15:04:35 status half-installed libpcre3:armel 2:8.39-3
2019-09-08 15:04:35 status unpacked libpcre3:armel 2:8.39-3
2019-09-08 15:04:35 status unpacked libpcre3:armel 2:8.39-3
2019-09-08 15:04:35 upgrade perl-base:armel 5.24.1-3+deb9u5 5.24.1-3+deb9u5
2019-09-08 15:04:35 status half-configured perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:35 status unpacked perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:35 status half-installed perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:36 status half-installed perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:36 status unpacked perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:36 status unpacked perl-base:armel 5.24.1-3+deb9u5
2019-09-08 15:04:36 install sed:armel <none> 4.4-1
2019-09-08 15:04:36 status half-installed sed:armel 4.4-1
2019-09-08 15:04:36 status unpacked sed:armel 4.4-1
2019-09-08 15:04:36 status unpacked sed:armel 4.4-1
2019-09-08 15:04:36 install sensible-utils:all <none> 0.0.9+deb9u1
2019-09-08 15:04:36 status half-installed sensible-utils:all 0.0.9+deb9u1
2019-09-08 15:04:36 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-09-08 15:04:36 status unpacked sensible-utils:all 0.0.9+deb9u1
2019-09-08 15:04:37 install login:armel <none> 1:4.4-4.1
2019-09-08 15:04:37 status half-installed login:armel 1:4.4-4.1
2019-09-08 15:04:37 status unpacked login:armel 1:4.4-4.1
2019-09-08 15:04:37 status unpacked login:armel 1:4.4-4.1
2019-09-08 15:04:37 install passwd:armel <none> 1:4.4-4.1
2019-09-08 15:04:37 status half-installed passwd:armel 1:4.4-4.1
2019-09-08 15:04:37 status unpacked passwd:armel 1:4.4-4.1
2019-09-08 15:04:37 status unpacked passwd:armel 1:4.4-4.1
2019-09-08 15:04:38 install libsystemd0:armel <none> 232-25+deb9u12
2019-09-08 15:04:38 status half-installed libsystemd0:armel 232-25+deb9u12
2019-09-08 15:04:38 status unpacked libsystemd0:armel 232-25+deb9u12
2019-09-08 15:04:38 status unpacked libsystemd0:armel 232-25+deb9u12
2019-09-08 15:04:38 install libudev1:armel <none> 232-25+deb9u12
2019-09-08 15:04:38 status half-installed libudev1:armel 232-25+deb9u12
2019-09-08 15:04:38 status unpacked libudev1:armel 232-25+deb9u12
2019-09-08 15:04:38 status unpacked libudev1:armel 232-25+deb9u12
2019-09-08 15:04:38 install sysvinit-utils:armel <none> 2.88dsf-59.9
2019-09-08 15:04:38 status half-installed sysvinit-utils:armel 2.88dsf-59.9
2019-09-08 15:04:38 status unpacked sysvinit-utils:armel 2.88dsf-59.9
2019-09-08 15:04:38 status unpacked sysvinit-utils:armel 2.88dsf-59.9
2019-09-08 15:04:38 install tar:armel <none> 1.29b-1.1
2019-09-08 15:04:38 status half-installed tar:armel 1.29b-1.1
2019-09-08 15:04:39 status unpacked tar:armel 1.29b-1.1
2019-09-08 15:04:39 status unpacked tar:armel 1.29b-1.1
2019-09-08 15:04:39 install tzdata:all <none> 2019b-0+deb9u1
2019-09-08 15:04:39 status half-installed tzdata:all 2019b-0+deb9u1
2019-09-08 15:04:39 status unpacked tzdata:all 2019b-0+deb9u1
2019-09-08 15:04:39 status unpacked tzdata:all 2019b-0+deb9u1
2019-09-08 15:04:40 install libustr-1.0-1:armel <none> 1.0.4-6
2019-09-08 15:04:40 status half-installed libustr-1.0-1:armel 1.0.4-6
2019-09-08 15:04:40 status unpacked libustr-1.0-1:armel 1.0.4-6
2019-09-08 15:04:40 status unpacked libustr-1.0-1:armel 1.0.4-6
2019-09-08 15:04:40 install bsdutils:armel <none> 1:2.29.2-1+deb9u1
2019-09-08 15:04:40 status half-installed bsdutils:armel 1:2.29.2-1+deb9u1
2019-09-08 15:04:40 status unpacked bsdutils:armel 1:2.29.2-1+deb9u1
2019-09-08 15:04:40 status unpacked bsdutils:armel 1:2.29.2-1+deb9u1
2019-09-08 15:04:40 install libblkid1:armel <none> 2.29.2-1+deb9u1
2019-09-08 15:04:40 status half-installed libblkid1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:40 status unpacked libblkid1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:40 status unpacked libblkid1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:40 install libfdisk1:armel <none> 2.29.2-1+deb9u1
2019-09-08 15:04:40 status half-installed libfdisk1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:40 status unpacked libfdisk1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:40 status unpacked libfdisk1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:40 install libmount1:armel <none> 2.29.2-1+deb9u1
2019-09-08 15:04:40 status half-installed libmount1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 status unpacked libmount1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 status unpacked libmount1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 install libsmartcols1:armel <none> 2.29.2-1+deb9u1
2019-09-08 15:04:41 status half-installed libsmartcols1:armel 2.29.2-1+deb9u1
2019-09-08 15:04:41 status unpacked libsmartcols1:armel 2.29.2-1+deb9u1
